scenario_id,country,year,quarter,OILE85_y,OILE85_q,STN_y,STN_q,LTN_y,LTN_q,ITS_y,ITS_q,PCS_y,PCS_q,GDP_y,GDP_q,HP_y,HP_q,ESX_y,ESX_q,CBR_y,CBR_q
1,CY,3,11,0,0,0,0,0,0,0,0,0,0,-4.052167486,-4.052167486,-10,-10,0,0,0,0
1,CY,3,12,0,0,0,0,0,0,0,0,0,0,-4.052167486,-4.052167486,-10,-10,0,0,0,0
1,CZ,1,1,0,0,0,0,0,0,0,0,0,0,-1.223396779,-1.223396779,-8.75,-5,0,0,0,0
1,CZ,1,2,0,0,0,0,0,0,0,0,0,0,-1.223396779,-1.223396779,-8.75,-10,0,0,0,0
1,CZ,1,3,0,0,0,0,0,0,0,0,0,0,-1.223396779,-1.223396779,-8.75,-10,0,0,0,0
1,CZ,1,4,0,0,0,0,0,0,0,0,0,0,-1.223396779,-1.223396779,-8.75,-10,0,0,0,0
1,CZ,2,5,0,0,0,0,0,0,0,0,0,0,-3.943886576,-3.943886576,-10,-10,0,0,0,0
1,CZ,2,6,0,0,0,0,0,0,0,0,0,0,-3.943886576,-3.943886576,-10,-10,0,0,0,0
1,CZ,2,7,0,0,0,0,0,0,0,0,0,0,-3.943886576,-3.943886576,-10,-10,0,0,0,0
1,CZ,2,8,0,0,0,0,0,0,0,0,0,0,-3.943886576,-3.943886576,-10,-10,0,0,0,0
1,CZ,3,9,0,0,0,0,0,0,0,0,0,0,-8.044203297,-8.044203297,-10,-10,0,0,0,0
1,CZ,3,10,0,0,0,0,0,0,0,0,0,0,-8.044203297,-8.044203297,-10,-10,0,0,0,0
1,CZ,3,11,0,0,0,0,0,0,0,0,0,0,-8.044203297,-8.044203297,-10,-10,0,0,0,0
1,CZ,3,12,0,0,0,0,0,0,0,0,0,0,-8.044203297,-8.044203297,-10,-10,0,0,0,0
1,DE,1,1,0,0,0,0,0,0,0,0,0,0,-0.972324852,-0.972324852,-8.75,-5,0,0,0,0
1,DE,1,2,0,0,0,0,0,0,0,0,0,0,-0.972324852,-0.972324852,-8.75,-10,0,0,0,0
1,DE,1,3,0,0,0,0,0,0,0,0,0,0,-0.972324852,-0.972324852,-8.75,-10,0,0,0,0
1,DE,1,4,0,0,0,0,0,0,0,0,0,0,-0.972324852,-0.972324852,-8.75,-10,0,0,0,0
1,DE,2,5,0,0,0,0,0,0,0,0,0,0,-3.491239474,-3.491239474,-10,-10,0,0,0,0
1,DE,2,6,0,0,0,0,0,0,0,0,0,0,-3.491239474,-3.491239474,-10,-10,0,0,0,0
1,DE,2,7,0,0,0,0,0,0,0,0,0,0,-3.491239474,-3.491239474,-10,-10,0,0,0,0
1,DE,2,8,0,0,0,0,0,0,0,0,0,0,-3.491239474,-3.491239474,-10,-10,0,0,0,0
1,DE,3,9,0,0,0,0,0,0,0,0,0,0,-7.627692334,-7.627692334,-10,-10,0,0,0,0
1,DE,3,10,0,0,0,0,0,0,0,0,0,0,-7.627692334,-7.627692334,-10,-10,0,0,0,0
1,DE,3,11,0,0,0,0,0,0,0,0,0,0,-7.627692334,-7.627692334,-10,-10,0,0,0,0
1,DE,3,12,0,0,0,0,0,0,0,0,0,0,-7.627692334,-7.627692334,-10,-10,0,0,0,0
1,DK,1,1,0,0,0,0,0,0,0,0,0,0,-1.072278016,-1.072278016,-8.75,-5,0,0,0,0
1,DK,1,2,0,0,0,0,0,0,0,0,0,0,-1.072278016,-1.072278016,-8.75,-10,0,0,0,0
1,DK,1,3,0,0,0,0,0,0,0,0,0,0,-1.072278016,-1.072278016,-8.75,-10,0,0,0,0
1,DK,1,4,0,0,0,0,0,0,0,0,0,0,-1.072278016,-1.072278016,-8.75,-10,0,0,0,0
1,DK,2,5,0,0,0,0,0,0,0,0,0,0,-3.494883413,-3.494883413,-10,-10,0,0,0,0
1,DK,2,6,0,0,0,0,0,0,0,0,0,0,-3.494883413,-3.494883413,-10,-10,0,0,0,0
1,DK,2,7,0,0,0,0,0,0,0,0,0,0,-3.494883413,-3.494883413,-10,-10,0,0,0,0
1,DK,2,8,0,0,0,0,0,0,0,0,0,0,-3.494883413,-3.494883413,-10,-10,0,0,0,0
1,DK,3,9,0,0,0,0,0,0,0,0,0,0,-7.154374348,-7.154374348,-10,-10,0,0,0,0
1,DK,3,10,0,0,0,0,0,0,0,0,0,0,-7.154374348,-7.154374348,-10,-10,0,0,0,0
1,DK,3,11,0,0,0,0,0,0,0,0,0,0,-7.154374348,-7.154374348,-10,-10,0,0,0,0
1,DK,3,12,0,0,0,0,0,0,0,0,0,0,-7.154374348,-7.154374348,-10,-10,0,0,0,0
1,EE,1,1,0,0,0,0,0,0,0,0,0,0,-4.984870754,-4.984870754,-8.75,-5,0,0,0,0
1,EE,1,2,0,0,0,0,0,0,0,0,0,0,-4.984870754,-4.984870754,-8.75,-10,0,0,0,0
1,EE,1,3,0,0,0,0,0,0,0,0,0,0,-4.984870754,-4.984870754,-8.75,-10,0,0,0,0
1,EE,1,4,0,0,0,0,0,0,0,0,0,0,-4.984870754,-4.984870754,-8.75,-10,0,0,0,0
1,EE,2,5,0,0,0,0,0,0,0,0,0,0,-15.84667073,-15.84667073,-10,-10,0,0,0,0
1,EE,2,6,0,0,0,0,0,0,0,0,0,0,-15.84667073,-15.84667073,-10,-10,0,0,0,0
1,EE,2,7,0,0,0,0,0,0,0,0,0,0,-15.84667073,-15.84667073,-10,-10,0,0,0,0
1,EE,2,8,0,0,0,0,0,0,0,0,0,0,-15.84667073,-15.84667073,-10,-10,0,0,0,0
1,EE,3,9,0,0,0,0,0,0,0,0,0,0,-32.2218968,-32.2218968,-10,-10,0,0,0,0
1,EE,3,10,0,0,0,0,0,0,0,0,0,0,-32.2218968,-32.2218968,-10,-10,0,0,0,0
